video;codec;resolution;width;bitrate [kb/s];nic;userDevice;cpu_model;encoded_segment_size [B];decoding_duration[s];average_cpu_utilization [%];energy_decode [wh];emission_decode_Austria_CI_157 [g];energy_NIC_LTE_TH_16_Mb/s [kWh];emission_NIC_LTE_TH_16_Austria_CI_157_[g];energy_NIC_LTE_TH_20_Mb/s [kWh];emission_NIC_LTE_TH_20_Austria_CI_157 [g];energy_NIC_LTE_TH_42_Mb/s [kWh];emission_NIC_LTE_TH_42_Austria_CI_157 [g];energy_NIC_LTE_TH_60_Mb/s [kWh];emission_NIC_LTE_TH_60_Austria_CI_157 [g]
AncientThought_s009;HEVC;1440p;2560;8100;eth;PC;Intel Xeon Gold 5218 CPU @ 2.30GHz;7386679.0;3.15;8.0;7e-05;0.01099;5.776513706982968e-06;0.0009069126519963;4.831216362844445e-06;0.0007585009689665;2.325428164889947e-06;0.0003650922218877;1.6420313836296296e-06;0.0002577989272298
AncientThought_s009;HEVC;2160p;3840;16800;eth;PC;Intel Xeon Gold 5218 CPU @ 2.30GHz;15791363.0;6.74;8.6875;0.0001626493055555;0.0255359409722134;1.2349125340554757e-05;0.001938812678467;1.0328253240355555e-05;0.0016215357587358;4.971338308081482e-06;0.0007805001143687;3.5103615083703703e-06;0.0005511267568141
AncientThought_s010;HEVC;360p;640;145;eth;PC;Intel Xeon Gold 5218 CPU @ 2.30GHz;78551.0;0.25;5.5625;3.862847222222223e-06;0.0006064670138888;6.14282721906853e-08;9.644238733937591e-06;5.1375845155555566e-08;8.066007689422225e-06;2.47289353957672e-08;3.88244285713545e-06;1.7461596370370372e-08;2.7414706301481485e-06
AncientThought_s010;HEVC;540p;960;1600;eth;PC;Intel Xeon Gold 5218 CPU @ 2.30GHz;939846.0;0.52;6.6875;9.65972222221875e-06;0.0015165763888883;7.349762053357285e-07;0.0001153912642377;6.147010549333334e-07;9.650806562453332e-05;2.9587644989841265e-07;4.6452602634050784e-05;2.089242848888889e-07;3.2801112727555555e-05
AncientThought_s010;HEVC;720p;1280;3400;eth;PC;Intel Xeon Gold 5218 CPU @ 2.30GHz;1912612.0;0.92;7.124999999999999;1.820833333333125e-05;0.002858708333333;1.4956964332875584e-06;0.0002348243400261;1.250933252977778e-06;0.0001963965207175;6.021165686645503e-07;9.45323012803344e-05;4.251665638518519e-07;6.675115052474074e-05
AncientThought_s010;HEVC;1080p;1920;5800;eth;PC;Intel Xeon Gold 5218 CPU @ 2.30GHz;3267393.0;1.87;7.5625;3.928298611110625e-05;0.0061674288194436;2.555159152116966e-06;0.0004011599868823;2.1370202394666663e-06;0.0003355121775962;1.028620264663492e-06;0.0001614933815521;7.263293624444445e-07;0.0001140337099037
AncientThought_s010;HEVC;1440p;2560;8100;eth;PC;Intel Xeon Gold 5218 CPU @ 2.30GHz;4461121.0;3.08;7.6875;6.577083333333124e-05;0.010326020833333;3.4886755746404525e-06;0.0005477220652185;2.9177714060444443e-06;0.0004580901107489;1.404422260718519e-06;0.0002204942949328;9.916906756296296e-07;0.0001556954360738
AncientThought_s010;HEVC;2160p;3840;16800;eth;PC;Intel Xeon Gold 5218 CPU @ 2.30GHz;8711374.0;6.44;8.75;0.0001565277777777;0.0245748611110988;6.812448641352228e-06;0.0010695544366922;5.6976257681777776e-06;0.0008945272456039;2.742460374207407e-06;0.0004305662787505;1.936506175851852e-06;0.0003040314696087
AncientThought_s011;HEVC;360p;640;145;eth;PC;Intel Xeon Gold 5218 CPU @ 2.30GHz;69217.0;0.24;6.0625;4.041666666666666e-06;0.0006345416666666;5.412891899813706e-08;8.49824028270752e-06;4.527099431111111e-08;7.107546106844445e-06;2.17904637915344e-08;3.421102815270901e-06;1.5386682740740737e-08;2.415709190296296e-06
AncientThought_s011;HEVC;540p;960;1600;eth;PC;Intel Xeon Gold 5218 CPU @ 2.30GHz;900996.0;0.51;6.6875;9.47395833333125e-06;0.001487411458333;7.045948177708584e-07;0.00011062138639;5.892914282666668e-07;9.251875423786669e-05;2.8364593545396826e-07;4.453241186627302e-05;2.0028807377777773e-07;3.1445227583111103e-05
